Number,image,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
147,https://www.wga.hu/detail/a/aertsen/triptic3.jpg,"AERTSEN, Pieter","(b. 1508, Amsterdam, d. 1575, Amsterdam)",Left wing of a Triptych with the Adoration of the Magi (reverse side),c. 1560,"Oil on panel, 190 x 73 cm","Rijksmuseum, Amsterdam",painting,religious,Flemish,1501-1550,The reverse side of the panel depicts the scene of Circumcision.
171,https://www.wga.hu/detail/a/agostin/1rimini/1sigis01.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows curtain drawing angels in the Chapel of St Sigismund.
172,https://www.wga.hu/detail/a/agostin/1rimini/1sigis02.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows curtain drawing angels in the Chapel of St Sigismund.
173,https://www.wga.hu/detail/a/agostin/1rimini/1sigis03.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows a curtain drawing angel in the Chapel of St Sigismund.
174,https://www.wga.hu/detail/a/agostin/1rimini/1sigis04.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows an angel holding the curtain in the Chapel of St Sigismund.
175,https://www.wga.hu/detail/a/agostin/1rimini/1sigis05.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Hope, one of the Virtues seated in niches between pilasters."
176,https://www.wga.hu/detail/a/agostin/1rimini/1sigis06.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Prudence, one of the Virtues seated in niches between pilasters."
177,https://www.wga.hu/detail/a/agostin/1rimini/1sigis07.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Charity, one of the Virtues seated in niches between pilasters."
178,https://www.wga.hu/detail/a/agostin/1rimini/1sigis08.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Faith, one of the Virtues seated in niches between pilasters."
179,https://www.wga.hu/detail/a/agostin/1rimini/1sigis09.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Fortitude, one of the Virtues seated in niches between pilasters."
180,https://www.wga.hu/detail/a/agostin/1rimini/1sigis10.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di San Sigismondo (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Temperance, one of the Virtues seated in niches between pilasters."
182,https://www.wga.hu/detail/a/agostin/1rimini/2marty01.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Cumaean Sibyl, one of the ten Sibyls placed in the niches."
183,https://www.wga.hu/detail/a/agostin/1rimini/2marty02.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Phrygian Sibyl, one of the ten Sibyls placed in the niches."
184,https://www.wga.hu/detail/a/agostin/1rimini/2marty03.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Libyan Sibyl, one of the ten Sibyls placed in the niches."
185,https://www.wga.hu/detail/a/agostin/1rimini/2marty04.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Hellespontine Sibyl, one of the ten Sibyls placed in the niches."
186,https://www.wga.hu/detail/a/agostin/1rimini/2marty05.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Cimmerian Sibyl, one of the ten Sibyls placed in the niches."
187,https://www.wga.hu/detail/a/agostin/1rimini/2marty06.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Tiburtine Sibyl, one of the ten Sibyls placed in the niches."
188,https://www.wga.hu/detail/a/agostin/1rimini/2marty07.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Delphic Sibyl, one of the ten Sibyls placed in the niches."
189,https://www.wga.hu/detail/a/agostin/1rimini/2marty08.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows one of the ten Sibyls placed in the niches.
190,https://www.wga.hu/detail/a/agostin/1rimini/2marty09.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Prophet Isaiah, one of the two Prophets placed in the niches."
192,https://www.wga.hu/detail/a/agostin/1rimini/2martyr1.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The Ark of the Ancestors in the Chapel of the Martyrs contains the bodies of some of Malatesta's ancestors.
193,https://www.wga.hu/detail/a/agostin/1rimini/2martyr2.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The Ark of the Ancestors in the Chapel of the Martyrs contains the bodies of some of Malatesta's ancestors.
194,https://www.wga.hu/detail/a/agostin/1rimini/2martyr3.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Martiri (detail),1449-56,Marble,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The Ark of the Ancestors in the Chapel of the Martyrs contains the bodies of some of Malatesta's ancestors.
198,https://www.wga.hu/detail/a/agostin/1rimini/3isotta4.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di Isotta (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows a relief depicting music-making angels.
199,https://www.wga.hu/detail/a/agostin/1rimini/3isotta5.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella di Isotta (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows a relief depicting music-making angels.
206,https://www.wga.hu/detail/a/agostin/1rimini/5zodia01.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Saturn.
208,https://www.wga.hu/detail/a/agostin/1rimini/5zodia03.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Mercury.
209,https://www.wga.hu/detail/a/agostin/1rimini/5zodia04.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Venus riding across a sea.
210,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac1.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Cancer and a view of Rimini.
211,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac2.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Cancer and a the relief of the Moon.
213,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac4.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Libra.
214,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac5.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Sagittarius.
215,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac6.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Taurus.
216,https://www.wga.hu/detail/a/agostin/1rimini/5zodiac7.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella dei Pianeti (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the sign of Madonna.
218,https://www.wga.hu/detail/a/agostin/1rimini/6liber01.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Rhetoric, one of the seven Liberal Arts."
219,https://www.wga.hu/detail/a/agostin/1rimini/6liber02.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Ethics.
220,https://www.wga.hu/detail/a/agostin/1rimini/6liber03.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Agriculture.
221,https://www.wga.hu/detail/a/agostin/1rimini/6liber04.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Grammar, one of the seven Liberal Arts."
222,https://www.wga.hu/detail/a/agostin/1rimini/6liber05.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the relief depicting Philosophy.
223,https://www.wga.hu/detail/a/agostin/1rimini/6liber06.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Logic, one of the seven Liberal Arts."
224,https://www.wga.hu/detail/a/agostin/1rimini/6liber07.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Astronomy, one of the seven Liberal Arts."
225,https://www.wga.hu/detail/a/agostin/1rimini/6liber08.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Music, one of the seven Liberal Arts."
226,https://www.wga.hu/detail/a/agostin/1rimini/6liber09.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Arithmetic, one of the seven Liberal Arts."
227,https://www.wga.hu/detail/a/agostin/1rimini/6liber10.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows Geometry, one of the seven Liberal Arts."
228,https://www.wga.hu/detail/a/agostin/1rimini/6libera1.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the Muse of Dance.
229,https://www.wga.hu/detail/a/agostin/1rimini/6libera2.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Muse of Poetry, Apollo."
230,https://www.wga.hu/detail/a/agostin/1rimini/6libera3.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the Muse of History.
231,https://www.wga.hu/detail/a/agostin/1rimini/6libera4.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,"The picture shows the Muse of Poetry, Apollo."
234,https://www.wga.hu/detail/a/agostin/2bernard/bernar04.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Sculptures on the facade (detail),1457-61,Marble,"Oratorio di San Bernardino, Perugia",sculpture,other,Italian,1451-1500,The photo shows the upper pediment with God the Father.
235,https://www.wga.hu/detail/a/agostin/2bernard/bernar05.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Sculptures on the facade (detail),1457-61,Marble,"Oratorio di San Bernardino, Perugia",sculpture,other,Italian,1451-1500,The photo shows one of the four aedicules containing a statue.
239,https://www.wga.hu/detail/a/agostin/2bernard/bernar09.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Sculptures on the facade (detail),1457-61,Marble,"Oratorio di San Bernardino, Perugia",sculpture,other,Italian,1451-1500,The photo shows musical angels framing the double doors.
240,https://www.wga.hu/detail/a/agostin/2bernard/bernar10.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Sculptures on the facade (detail),1457-61,Marble,"Oratorio di San Bernardino, Perugia",sculpture,other,Italian,1451-1500,The photo shows allegorical figures framing the double doors.
245,https://www.wga.hu/detail/a/agostin/3various/dossal2.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Dossal (detail),1459,Painted stone and terracotta,"San Domenico, Perugia",sculpture,religious,Italian,1451-1500,"The detail shows the Archangel Gabriel, a figure of the Annunciation."
246,https://www.wga.hu/detail/a/agostin/3various/dossal3.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Dossal (detail),1459,Painted stone and terracotta,"San Domenico, Perugia",sculpture,religious,Italian,1451-1500,The detail shows the Madonna Annunciate.
247,https://www.wga.hu/detail/a/agostin/3various/dossal4.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Dossal (detail),1459,Painted stone and terracotta,"San Domenico, Perugia",sculpture,religious,Italian,1451-1500,The detail shows the statue of St John the Baptist.
248,https://www.wga.hu/detail/a/agostin/3various/dossal5.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Dossal (detail),1459,Painted stone and terracotta,"San Domenico, Perugia",sculpture,religious,Italian,1451-1500,The detail shows the statue of St Lawrence.
255,https://www.wga.hu/detail/a/agostin/3various/madonna1.jpg,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Madonna (detail),c. 1475,Pietra caciolfa,"Galleria Nazionale dell'Umbria, Perugia",sculpture,religious,Italian,1451-1500,This Madonna is part of a sculpture group.
290,https://www.wga.hu/detail/a/albani/1/6corsini.jpg,"ALBANI, Francesco","(b. 1578, Bologna, d. 1660, Bologna)",Ceiling painting,1634,Fresco,"Villa Corsini a Mezzomonte, Impruneta",painting,mythological,Italian,1601-1650,The ceiling painting represents Jupiter and Ganymede.
313,https://www.wga.hu/detail/a/alberti1/cherubin/sistine.jpg,"ALBERTI, Cherubino","(b. 1553, Borgo San Sepolcro, d. 1615, Roma)",Part of the Sistine Chapel Ceiling,1577,Engraving,"British Museum, London",graphics,religious,Italian,1551-1600,This reproductive engraving shows the Libyan Sibyl and the prophet Daniel.
329,https://www.wga.hu/detail/a/alberti/ruccelak.jpg,"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",Palazzo Ruccelai: facade (detail),1446-51,Photo,"Via della Vigna Nuova, Florence",architecture,other,Italian,1401-1450,The picture shows a detail of the wall base.
347,https://www.wga.hu/detail/a/aldrovan/animal1.jpg,"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",Red Hartebeest and Blackbuck,-,Watercolour,"Biblioteca, University of Bologna, Bologna",graphics,study,Italian,1551-1600,These are animal pictures.
348,https://www.wga.hu/detail/a/aldrovan/animal2.jpg,"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",Red Hartebeest,-,Woodcut,"Biblioteca, University of Bologna, Bologna",graphics,study,Italian,1551-1600,These are animal pictures.
349,https://www.wga.hu/detail/a/aldrovan/animal3.jpg,"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",Red-flanked Duiker,-,Woodcut,"Biblioteca, University of Bologna, Bologna",graphics,study,Italian,1551-1600,These are animal pictures.
350,https://www.wga.hu/detail/a/aldrovan/animal4.jpg,"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",Blackbuck,-,Woodcut,"Biblioteca, University of Bologna, Bologna",graphics,study,Italian,1551-1600,These are animal pictures.
351,https://www.wga.hu/detail/a/aldrovan/animal5.jpg,"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",Red Hartebeest and Mountain Coati,-,Watercolour,"Biblioteca, University of Bologna, Bologna",graphics,study,Italian,1551-1600,These are animal pictures.
352,https://www.wga.hu/detail/a/aldrovan/animal6.jpg,"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",Mountain Coati,-,Woodcut,"Biblioteca, University of Bologna, Bologna",graphics,study,Italian,1551-1600,These are animal pictures.
373,https://www.wga.hu/detail/a/alesso/crucifix.jpg,ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",Crucifixion,-,"Oil on panel, 54 x 41 cm",Private collection,painting,religious,Italian,1501-1550,"This panel represents the Crucifixion, with the Madonna and Sts John the Evangelist and Mary Magdalene, a city and mountainous landscape beyond."
374,https://www.wga.hu/detail/a/alesso/crucifiz.jpg,ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",Crucifixion (detail),-,Oil on panel,Private collection,painting,religious,Italian,1501-1550,"This panel represents the Crucifixion, with the Madonna and Sts John the Evangelist and Mary Magdalene, a city and mountainous landscape beyond."
387,https://www.wga.hu/detail/a/algardi/1/innobus4.jpg,"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Pope Innocent X,1640s,"Bronze, 78 x 82 cm (without base)","Museum of Art, Cleveland",sculpture,portrait,Italian,1601-1650,This is a likenesses of Innocent X and his family.
388,https://www.wga.hu/detail/a/algardi/1/laudivio.jpg,"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Cardinal Laudivio Zacchia,1626,Marble,"Staatliche Museen, Berlin",sculpture,portrait,Italian,1601-1650,Algardi represents his sitter with his mouth closed.
389,https://www.wga.hu/detail/a/algardi/1/laudivix.jpg,"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Cardinal Laudivio Zacchia (detail),1626,Marble,"Staatliche Museen, Berlin",sculpture,portrait,Italian,1601-1650,Algardi represents his sitter with his mouth closed.
429,https://www.wga.hu/detail/a/algardi/4/x_sleep.jpg,"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Sleep,c. 1635,"Black marble, 48 x 90 cm","Galleria Borghese, Rome",sculpture,mythological,Italian,1601-1650,"The allegory of Sleep represents a boy with butterfly wings holding poppies, accompanied by two large vases with handles in the form of serpents."
441,https://www.wga.hu/detail/a/allegrai/etienne/landmose.jpg,"ALLEGRAIN, Etienne","(b. 1644, Paris, d. 1736, Paris)",Landscape with the Finding of Moses,-,"Oil on canvas, 88 x 115 cm","The Hermitage, St. Petersburg",painting,landscape,French,1651-1700,Allegrain followed Poussin by painting heroic landscapes.
490,https://www.wga.hu/detail/a/altdorfe/1/2landsca.jpg,"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Landscape with Path,c. 1518,"Parchment and wood, 42 x 40 cm","National Gallery, London",painting,landscape,German,1501-1550,This painting represents landscapes.
499,https://www.wga.hu/detail/a/altdorfe/2/02egypt1.jpg,"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Rest on the Flight into Egypt (detail),1510,Oil on panel,"Staatliche Museen, Berlin",painting,religious,German,1501-1550,"Several angels are playing in and around the basin of the fountain, and the child Christ tries to reach into the water."
521,https://www.wga.hu/detail/a/altichie/1/1view2.jpg,ALTICHIERO da Zevio,"(b. ca. 1330, Zevio, d. ca. 1390, Verona)",View of the chapel,1378-84,Fresco,"Oratorio di San Giorgio, Padua",painting,religious,Italian,1351-1400,The picture shows a view of the chapel from the entrance.
523,https://www.wga.hu/detail/a/altichie/1/1view4.jpg,ALTICHIERO da Zevio,"(b. ca. 1330, Zevio, d. ca. 1390, Verona)",View of the altar wall,1378-84,Fresco,"Oratorio di San Giorgio, Padua",painting,religious,Italian,1351-1400,The two pictures on the altar wall represents the Coronation of the Madonna and the Crucifixion.
